,age,sex,rural,largefam,ptogether,Medu,Fedu,health,traveltime,studytime,failures,absences,activities,highereduplan,internet,romantic,freetime,goout,alc
346,18,M,1,1,1,4,3,4,1,3,0,9,0,1,1,1,3,2,3
347,18,M,0,1,1,4,3,5,1,3,0,0,0,1,1,1,4,5,5
348,17,F,0,1,1,4,3,4,1,3,0,0,1,1,1,1,4,3,4
349,18,M,1,1,1,3,2,5,2,1,1,10,0,1,1,0,5,5,10
350,19,M,1,1,1,1,1,2,3,2,3,8,0,1,1,0,4,4,6
351,17,M,0,1,1,3,3,3,2,2,0,2,0,1,1,0,5,4,5
352,18,M,0,0,1,1,3,3,1,1,1,7,0,0,1,1,3,3,5
353,19,M,1,1,1,1,1,5,3,1,1,4,0,1,1,0,4,4,6
354,17,M,1,1,1,4,3,2,2,2,0,4,1,1,1,1,5,5,4
355,18,F,0,1,1,3,3,5,1,2,0,0,0,1,0,1,3,4,2
356,17,F,1,1,1,4,4,5,2,2,0,4,1,1,1,0,3,3,3
357,17,F,0,0,0,3,2,5,2,2,0,2,0,1,0,1,2,3,3
358,18,M,0,0,1,1,1,3,2,1,0,4,0,1,1,1,3,2,3
359,18,F,0,0,1,1,1,4,2,3,0,0,0,1,1,0,3,2,2
360,18,F,1,0,0,1,4,5,3,2,0,0,0,1,0,1,3,4,5
361,18,M,1,0,1,1,1,5,2,2,1,2,1,0,0,0,4,3,5
362,18,F,0,1,1,3,3,3,2,2,0,0,0,1,1,1,3,2,4
363,17,F,0,0,1,4,4,1,1,2,0,0,1,1,1,1,3,4,2
364,17,F,1,1,1,1,2,3,2,2,0,0,0,1,0,0,2,2,3
365,18,M,1,1,1,1,3,3,2,2,0,4,0,1,0,0,3,4,6
366,18,M,0,0,1,4,4,5,2,3,0,0,0,1,1,1,2,2,4
367,17,F,1,1,1,1,1,1,3,1,1,0,0,1,1,1,2,1,3
368,18,F,0,1,1,2,3,4,2,1,0,0,0,1,1,1,2,3,3
369,18,F,1,1,1,4,4,5,3,2,0,10,0,1,1,1,2,2,6
370,19,F,0,0,1,3,2,3,2,2,2,4,1,1,0,1,2,2,2
371,18,M,1,0,1,1,2,3,3,1,0,3,1,0,1,1,3,3,5
372,17,F,0,1,1,2,2,3,1,3,0,8,1,1,0,1,4,3,2
373,17,F,1,1,1,1,2,1,1,1,0,14,1,1,1,0,5,5,4
374,18,F,1,0,1,4,4,1,2,3,0,0,0,1,1,0,4,4,2
375,18,F,1,1,1,1,1,4,4,3,0,2,0,1,1,0,3,2,3
376,20,F,0,1,1,4,2,3,2,3,2,4,0,1,1,1,4,3,2
377,18,F,1,0,1,4,4,2,1,2,0,4,1,1,1,0,4,3,7
378,18,F,0,1,1,3,3,1,1,2,0,0,0,1,1,1,1,3,3
379,17,F,1,1,1,3,1,1,1,2,0,17,1,1,1,0,5,4,5
380,18,M,0,1,1,4,4,2,1,2,0,4,1,1,1,0,2,4,5
381,18,M,1,1,1,2,1,5,2,1,0,5,1,1,1,1,4,3,4
382,17,M,0,1,1,2,3,3,2,2,0,2,1,1,1,0,4,3,2
383,19,M,1,1,1,1,1,5,2,1,1,0,0,1,0,0,3,2,4
384,18,M,1,1,1,4,2,3,2,1,1,14,0,1,0,0,4,3,7
385,18,F,1,1,1,2,2,4,2,3,0,2,0,1,0,0,3,3,4
386,18,F,1,1,1,4,4,5,3,1,0,7,1,1,1,1,4,3,4
387,19,F,1,1,1,2,3,5,1,3,1,0,1,1,1,0,4,2,3
388,18,F,0,0,1,3,1,1,1,2,0,0,0,1,1,0,3,4,2
389,18,F,0,1,1,1,1,5,2,2,1,0,1,1,0,0,1,1,2
390,20,M,0,0,0,2,2,4,1,2,2,11,0,1,0,0,5,4,9
391,17,M,0,0,1,3,1,2,2,1,0,3,0,1,1,0,4,5,7
392,21,M,1,1,1,1,1,3,1,1,3,3,0,1,0,0,5,3,6
393,18,M,1,0,1,3,2,5,3,1,0,0,0,1,1,0,4,1,7
394,19,M,0,0,1,1,1,5,1,1,0,5,0,1,1,0,2,3,6
